"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US48201211900","Census Tract 2119, Harris County, Texas","5143","484","3647","573","28","44","0","127","0","127","0","127","1453","460","15","25","0","127","15","25"
"1400000US48201230800","Census Tract 2308, Harris County, Texas","2434","376","551","194","1832","307","0","127","0","127","0","127","51","69","0","127","0","127","0","127"
"1400000US48201331300","Census Tract 3313, Harris County, Texas","5021","621","202","170","4699","613","0","127","0","127","0","127","100","140","20","22","11","17","9","14"
"1400000US48201432100","Census Tract 4321, Harris County, Texas","4592","620","2443","518","952","398","0","127","428","216","0","127","726","367","43","54","2","17","41","54"
"1400000US48201450500","Census Tract 4505, Harris County, Texas","2956","282","2380","302","267","211","7","12","270","80","0","127","0","127","32","37","0","127","32","37"
"1400000US48201551100","Census Tract 5511, Harris County, Texas","10129","948","3717","895","2945","601","0","127","1792","384","0","127","1584","629","91","79","64","70","27","47"
"1400000US48201230200","Census Tract 2302, Harris County, Texas","5590","698","608","313","4982","680","0","127","0","127","0","127","0","127","0","127","0","127","0","127"
"1400000US48201453502","Census Tract 4535.02, Harris County, Texas","3365","350","1719","271","999","314","29","56","488","291","0","127","61","69","69","104","0","127","69","104"
"1400000US48201510300","Census Tract 5103, Harris County, Texas","5503","608","4955","626","0","127","0","127","50","50","0","127","170","121","328","276","16","26","312","275"
"1400000US48201420800","Census Tract 4208, Harris County, Texas","2794","232","2042","298","177","211","0","127","479","260","0","127","68","100","28","34","0","127","28","34"
"1400000US48201431101","Census Tract 4311.01, Harris County, Texas","2595","292","2007","311","485","176","0","127","95","102","0","127","0","127","8","15","0","127","8","15"
"1400000US48201452201","Census Tract 4522.01, Harris County, Texas","4618","513","1881","388","1755","397","111","131","439","237","0","127","420","228","12","19","12","19","0","127"
"1400000US48201454400","Census Tract 4544, Harris County, Texas","140","149","49","63","0","127","0","127","51","79","0","127","0","127","40","65","0","127","40","65"
"1400000US48201222503","Census Tract 2225.03, Harris County, Texas","7454","920","5570","820","356","359","156","276","58","80","0","127","1261","598","53","76","27","44","26","56"
"1400000US48201330302","Census Tract 3303.02, Harris County, Texas","5989","923","2122","578","2377","827","0","127","26","61","0","127","1182","497","282","347","0","127","282","347"
"1400000US48201530700","Census Tract 5307, Harris County, Texas","5650","596","2543","602","1488","330","0","127","74","105","0","127","1545","531","0","127","0","127","0","127"
"1400000US48201252100","Census Tract 2521, Harris County, Texas","1551","194","1277","346","112","130","0","127","0","127","0","127","148","171","14","25","14","25","0","127"
"1400000US48201541900","Census Tract 5419, Harris County, Texas","6176","486","4758","609","484","338","0","127","706","241","0","127","156","134","72","62","0","127","72","62"
"1400000US48201252200","Census Tract 2522, Harris County, Texas","6127","541","4608","626","716","247","0","127","0","127","0","127","763","341","40","38","25","29","15","25"
"1400000US48201980100","Census Tract 9801, Harris County, Texas","204","164","50","81","126","163","0","127","0","127","0","127","0","127","28","44","28","44","0","127"
"1400000US48201432901","Census Tract 4329.01, Harris County, Texas","3656","467","3181","566","61","102","0","127","130","146","0","127","284","191","0","127","0","127","0","127"
"1400000US48201532300","Census Tract 5323, Harris County, Texas","5008","524","2707","433","1353","389","0","127","210","152","0","127","698","290","40","39","13","21","27","31"
"1400000US48201532800","Census Tract 5328, Harris County, Texas","1857","420","713","202","489","155","45","81","129","139","0","127","454","412","27","31","27","31","0","127"
"1400000US48201542800","Census Tract 5428, Harris County, Texas","6646","334","5884","588","461","372","0","127","192","284","0","127","100","87","9","13","9","13","0","127"
"1400000US48201554502","Census Tract 5545.02, Harris County, Texas","6443","295","6012","340","35","54","29","36","72","49","0","127","238","151","57","52","17","26","40","44"
"1400000US48201232200","Census Tract 2322, Harris County, Texas","8771","937","6572","931","1040","430","54","67","445","395","0","127","557","313","103","82","32","48","71","66"
"1400000US48201343000","Census Tract 3430, Harris County, Texas","6857","617","5153","688","526","380","0","127","307","331","0","127","599","294","272","142","83","89","189","134"
"1400000US48201431502","Census Tract 4315.02, Harris County, Texas","3313","418","2991","420","0","127","0","127","163","98","0","127","114","134","45","47","0","127","45","47"
"1400000US48201521600","Census Tract 5216, Harris County, Texas","3235","404","1602","359","550","221","0","127","121","160","0","127","883","313","79","77","79","77","0","127"
"1400000US48201530600","Census Tract 5306, Harris County, Texas","3121","447","1336","354","992","179","0","127","0","127","0","127","793","395","0","127","0","127","0","127"
"1400000US48201252900","Census Tract 2529, Harris County, Texas","8233","985","6948","858","55","79","0","127","64","61","0","127","1148","518","18","28","18","28","0","127"
"1400000US48201542200","Census Tract 5422, Harris County, Texas","15078","1013","8668","1168","3687","549","17","26","591","252","0","127","1628","570","487","297","109","92","378","275"
"1400000US48201553900","Census Tract 5539, Harris County, Texas","7837","435","5883","401","1019","333","149","183","583","213","0","127","0","127","203","235","13","21","190","227"
"1400000US48201541201","Census Tract 5412.01, Harris County, Texas","8383","484","6855","564","414","173","0","127","694","234","0","127","219","145","201","129","63","55","138","118"
"1400000US48201253600","Census Tract 2536, Harris County, Texas","5546","563","3101","334","1933","524","0","127","99","102","0","127","361","185","52","65","15","24","37","60"
"1400000US48201314002","Census Tract 3140.02, Harris County, Texas","7411","636","2286","368","1601","543","16","43","2976","693","0","127","423","207","109","85","0","127","109","85"
"1400000US48201453602","Census Tract 4536.02, Harris County, Texas","7609","814","3097","736","2112","534","0","127","1277","244","0","127","1099","515","24","38","0","127","24","38"
"1400000US48201522302","Census Tract 5223.02, Harris County, Texas","4072","600","3308","712","189","223","45","76","125","126","0","127","377","312","28","32","0","127","28","32"
"1400000US48201533500","Census Tract 5335, Harris County, Texas","4634","424","2792","540","738","227","0","127","123","163","0","127","981","371","0","127","0","127","0","127"
"1400000US48201542000","Census Tract 5420, Harris County, Texas","13863","788","9515","695","1963","428","206","190","836","371","0","127","1155","523","188","116","124","104","64","54"
"1400000US48201233600","Census Tract 2336, Harris County, Texas","1699","259","40","64","1648","250","0","127","0","127","0","127","11","18","0","127","0","127","0","127"
"1400000US48201555200","Census Tract 5552, Harris County, Texas","5804","409","4839","428","199","120","0","127","190","181","0","127","350","175","226","243","81","78","145","232"
"1400000US48201413100","Census Tract 4131, Harris County, Texas","3047","226","2782","246","69","104","10","17","105","79","0","127","15","20","66","66","11","18","55","62"
"1400000US48201232702","Census Tract 2327.02, Harris County, Texas","5332","962","2180","677","1098","473","0","127","15","23","0","127","1991","793","48","68","0","127","48","68"
"1400000US48201254100","Census Tract 2541, Harris County, Texas","4877","605","2936","477","600","282","8","14","50","48","0","127","1068","485","215","177","122","168","93","65"
"1400000US48201310900","Census Tract 3109, Harris County, Texas","5809","595","3562","583","0","127","0","127","0","127","0","127","2241","626","6","10","6","10","0","127"
"1400000US48201423201","Census Tract 4232.01, Harris County, Texas","2934","444","2024","451","633","195","0","127","107","111","0","127","88","104","82","115","0","127","82","115"
"1400000US48201450700","Census Tract 4507, Harris County, Texas","6508","273","6142","283","0","127","0","127","366","202","0","127","0","127","0","127","0","127","0","127"
"1400000US48201511002","Census Tract 5110.02, Harris County, Texas","4853","491","4274","491","223","165","0","127","130","124","0","127","130","107","96","106","16","26","80","102"
"1400000US48201533300","Census Tract 5333, Harris County, Texas","6433","825","1055","484","4934","677","0","127","51","59","0","127","366","418","27","45","0","127","27","45"
"1400000US48201210500","Census Tract 2105, Harris County, Texas","5009","594","3587","608","689","226","3","5","0","127","0","127","730","291","0","127","0","127","0","127"
"1400000US48201250302","Census Tract 2503.02, Harris County, Texas","8905","659","5673","663","1955","537","0","127","479","421","0","127","236","154","562","468","110","107","452","458"
"1400000US48201530400","Census Tract 5304, Harris County, Texas","2478","425","367","226","1314","243","0","127","0","127","0","127","757","411","40","70","40","70","0","127"
"1400000US48201241000","Census Tract 2410, Harris County, Texas","8505","639","5733","603","1612","422","47","59","206","225","49","80","630","356","228","183","87","87","141","143"
"1400000US48201321900","Census Tract 3219, Harris County, Texas","5539","507","3112","581","124","161","25","41","0","127","0","127","2272","556","6","16","6","16","0","127"
"1400000US48201554802","Census Tract 5548.02, Harris County, Texas","12863","971","9883","715","610","361","49","43","890","246","0","127","1172","755","259","196","19","33","240","193"
"1400000US48201511500","Census Tract 5115, Harris County, Texas","6206","611","5213","765","179","113","72","101","72","60","12","20","578","401","80","94","50","83","30","41"
"1400000US48201311000","Census Tract 3110, Harris County, Texas","8061","887","4980","966","71","72","70","68","0","127","0","127","2870","911","70","114","70","114","0","127"
"1400000US48201431302","Census Tract 4313.02, Harris County, Texas","3871","274","3699","317","17","27","0","127","114","91","0","127","0","127","41","59","0","127","41","59"
"1400000US48201453501","Census Tract 4535.01, Harris County, Texas","6205","531","2783","687","1615","503","0","127","1503","457","0","127","281","259","23","28","0","127","23","28"
"1400000US48201331100","Census Tract 3311, Harris County, Texas","3307","469","43","73","2882","458","0","127","7","13","0","127","375","159","0","127","0","127","0","127"
"1400000US48201453403","Census Tract 4534.03, Harris County, Texas","3473","464","778","400","1623","411","0","127","534","189","0","127","538","291","0","127","0","127","0","127"
"1400000US48201210700","Census Tract 2107, Harris County, Texas","2008","295","1314","283","478","189","22","42","12","21","0","127","140","107","42","80","0","127","42","80"
"1400000US48201232100","Census Tract 2321, Harris County, Texas","3593","1364","2097","642","1122","625","5","10","0","127","0","127","178","237","191","273","28","58","163","264"
"1400000US48201232403","Census Tract 2324.03, Harris County, Texas","4860","573","1632","507","2052","517","0","127","75","82","0","127","1072","605","29","33","0","127","29","33"
"1400000US48201330200","Census Tract 3302, Harris County, Texas","3117","511","925","344","1609","341","55","76","44","48","14","32","470","213","0","127","0","127","0","127"
"1400000US48201543002","Census Tract 5430.02, Harris County, Texas","7199","529","4545","505","1078","250","0","127","841","332","0","127","518","381","217","156","91","136","126","77"
"1400000US48201451601","Census Tract 4516.01, Harris County, Texas","5240","392","3844","364","297","225","0","127","964","312","0","127","45","47","90","82","31","32","59","77"
"1400000US48201522100","Census Tract 5221, Harris County, Texas","7601","729","5274","773","769","423","201","322","150","105","0","127","1207","601","0","127","0","127","0","127"
"1400000US48201532900","Census Tract 5329, Harris County, Texas","4677","458","1325","493","2010","401","0","127","594","181","0","127","656","310","92","117","69","112","23","25"
"1400000US48201552700","Census Tract 5527, Harris County, Texas","7574","727","5730","678","737","385","0","127","773","338","0","127","137","137","197","151","52","59","145","139"
"1400000US48201521100","Census Tract 5211, Harris County, Texas","2402","382","1935","425","22","25","10","15","19","30","0","127","416","252","0","127","0","127","0","127"
"1400000US48201543200","Census Tract 5432, Harris County, Texas","6040","743","3256","572","1507","673","0","127","603","159","0","127","594","397","80","92","26","40","54","78"
"1400000US48201240100","Census Tract 2401, Harris County, Texas","3441","530","1540","442","1280","356","9","15","140","118","0","127","381","217","91","102","42","55","49","75"
"1400000US48201522202","Census Tract 5222.02, Harris County, Texas","3451","579","2839","617","179","163","0","127","126","96","0","127","252","192","55","73","13","24","42","69"
"1400000US48201531300","Census Tract 5313, Harris County, Texas","5015","617","2771","640","727","422","0","127","108","130","0","127","1337","488","72","70","0","127","72","70"
